date,crypto crash
"Sep 19, 2020",0
"Sep 20, 2020",0
"Sep 21, 2020",2
"Sep 22, 2020",0
"Sep 23, 2020",0
"Sep 24, 2020",0
"Sep 25, 2020",0
"Sep 26, 2020",0
"Sep 27, 2020",0
"Sep 28, 2020",0
"Sep 29, 2020",0
"Sep 30, 2020",0
"Oct 1, 2020",0
"Oct 2, 2020",0
"Oct 3, 2020",0
"Oct 4, 2020",0
"Oct 5, 2020",0
"Oct 6, 2020",0
"Oct 7, 2020",0
"Oct 8, 2020",0
"Oct 9, 2020",0
"Oct 10, 2020",0
"Oct 11, 2020",0
"Oct 12, 2020",0
"Oct 13, 2020",0
"Oct 14, 2020",0
"Oct 15, 2020",1
"Oct 16, 2020",0
"Oct 17, 2020",0
"Oct 18, 2020",0
"Oct 19, 2020",0
"Oct 20, 2020",0
"Oct 21, 2020",0
"Oct 22, 2020",0
"Oct 23, 2020",0
"Oct 24, 2020",0
"Oct 25, 2020",0
"Oct 26, 2020",0
"Oct 27, 2020",0
"Oct 28, 2020",0
"Oct 29, 2020",0
"Oct 30, 2020",0
"Oct 31, 2020",0
"Nov 1, 2020",0
"Nov 2, 2020",0
"Nov 3, 2020",0
"Nov 4, 2020",0
"Nov 5, 2020",0
"Nov 6, 2020",0
"Nov 7, 2020",0
"Nov 8, 2020",0
"Nov 9, 2020",0
"Nov 10, 2020",0
"Nov 11, 2020",0
"Nov 12, 2020",0
"Nov 13, 2020",0
"Nov 14, 2020",0
"Nov 15, 2020",0
"Nov 16, 2020",0
"Nov 17, 2020",0
"Nov 18, 2020",0
"Nov 19, 2020",0
"Nov 20, 2020",0
"Nov 21, 2020",0
"Nov 22, 2020",0
"Nov 23, 2020",0
"Nov 24, 2020",2
"Nov 25, 2020",0
"Nov 26, 2020",7
"Nov 27, 2020",0
"Nov 28, 2020",0
"Nov 29, 2020",0
"Nov 30, 2020",0
"Dec 1, 2020",0
"Dec 2, 2020",0
"Dec 3, 2020",2
"Dec 4, 2020",0
"Dec 5, 2020",0
"Dec 6, 2020",0
"Dec 7, 2020",0
"Dec 8, 2020",0
"Dec 9, 2020",2
"Dec 10, 2020",0
"Dec 11, 2020",0
"Dec 12, 2020",0
"Dec 13, 2020",0
"Dec 14, 2020",0
"Dec 15, 2020",0
"Dec 16, 2020",0
"Dec 17, 2020",2
"Dec 18, 2020",0
"Dec 19, 2020",0
"Dec 20, 2020",0
"Dec 21, 2020",0
"Dec 22, 2020",0
"Dec 23, 2020",2
"Dec 24, 2020",2
"Dec 25, 2020",0
"Dec 26, 2020",0
"Dec 27, 2020",2
"Dec 28, 2020",0
"Dec 29, 2020",2
"Dec 30, 2020",2
"Dec 31, 2020",0
"Jan 1, 2021",0
"Jan 2, 2021",3
"Jan 3, 2021",3
"Jan 4, 2021",5
"Jan 5, 2021",3
"Jan 6, 2021",4
"Jan 7, 2021",4
"Jan 8, 2021",5
"Jan 9, 2021",3
"Jan 10, 2021",3
"Jan 11, 2021",15
"Jan 12, 2021",3
"Jan 13, 2021",2
"Jan 14, 2021",2
"Jan 15, 2021",2
"Jan 16, 2021",2
"Jan 17, 2021",2
"Jan 18, 2021",0
"Jan 19, 2021",2
"Jan 20, 2021",2
"Jan 21, 2021",4
"Jan 22, 2021",4
"Jan 23, 2021",2
"Jan 24, 2021",2
"Jan 25, 2021",2
"Jan 26, 2021",0
"Jan 27, 2021",2
"Jan 28, 2021",0
"Jan 29, 2021",4
"Jan 30, 2021",2
"Jan 31, 2021",3
"Feb 1, 2021",2
"Feb 2, 2021",2
"Feb 3, 2021",3
"Feb 4, 2021",3
"Feb 5, 2021",3
"Feb 6, 2021",4
"Feb 7, 2021",5
"Feb 8, 2021",4
"Feb 9, 2021",5
"Feb 10, 2021",6
"Feb 11, 2021",6
"Feb 12, 2021",6
"Feb 13, 2021",6
"Feb 14, 2021",3
"Feb 15, 2021",15
"Feb 16, 2021",5
"Feb 17, 2021",4
"Feb 18, 2021",5
"Feb 19, 2021",5
"Feb 20, 2021",8
"Feb 21, 2021",7
"Feb 22, 2021",21
"Feb 23, 2021",45
"Feb 24, 2021",7
"Feb 25, 2021",5
"Feb 26, 2021",8
"Feb 27, 2021",3
"Feb 28, 2021",11
"Mar 1, 2021",3
"Mar 2, 2021",2
"Mar 3, 2021",2
"Mar 4, 2021",3
"Mar 5, 2021",2
"Mar 6, 2021",2
"Mar 7, 2021",3
"Mar 8, 2021",0
"Mar 9, 2021",2
"Mar 10, 2021",2
"Mar 11, 2021",2
"Mar 12, 2021",3
"Mar 13, 2021",3
"Mar 14, 2021",4
"Mar 15, 2021",2
"Mar 16, 2021",2
"Mar 17, 2021",4
"Mar 18, 2021",3
"Mar 19, 2021",3
"Mar 20, 2021",4
"Mar 21, 2021",4
"Mar 22, 2021",4
"Mar 23, 2021",5
"Mar 24, 2021",4
"Mar 25, 2021",7
"Mar 26, 2021",0
"Mar 27, 2021",2
"Mar 28, 2021",2
"Mar 29, 2021",0
"Mar 30, 2021",2
"Mar 31, 2021",4
"Apr 1, 2021",3
"Apr 2, 2021",3
"Apr 3, 2021",4
"Apr 4, 2021",4
"Apr 5, 2021",4
"Apr 6, 2021",6
"Apr 7, 2021",6
"Apr 8, 2021",3
"Apr 9, 2021",4
"Apr 10, 2021",5
"Apr 11, 2021",6
"Apr 12, 2021",5
"Apr 13, 2021",6
"Apr 14, 2021",11
"Apr 15, 2021",9
"Apr 16, 2021",16
"Apr 17, 2021",12
"Apr 18, 2021",94
"Apr 19, 2021",23
"Apr 20, 2021",27
"Apr 21, 2021",11
"Apr 22, 2021",18
"Apr 23, 2021",100
"Apr 24, 2021",12
"Apr 25, 2021",13
"Apr 26, 2021",6
"Apr 27, 2021",7
"Apr 28, 2021",5
"Apr 29, 2021",6
"Apr 30, 2021",5
"May 1, 2021",8
"May 2, 2021",7
"May 3, 2021",11
"May 4, 2021",18
"May 5, 2021",13
"May 6, 2021",15
"May 7, 2021",13
"May 8, 2021",13
"May 9, 2021",15
"May 10, 2021",34
"May 11, 2021",25
"May 12, 2021",20
"May 13, 2021",84
"May 14, 2021",14
"May 15, 2021",17
"May 16, 2021",27
"May 17, 2021",43
"May 18, 2021",4
"May 19, 2021",100
"May 20, 2021",38
"May 21, 2021",19
"May 22, 2021",20
"May 23, 2021",44
"May 24, 2021",11
"May 25, 2021",5
"May 26, 2021",4
"May 27, 2021",3
"May 28, 2021",6
"May 29, 2021",5
"May 30, 2021",3
"May 31, 2021",2
"Jun 1, 2021",2
"Jun 2, 2021",2
"Jun 3, 2021",1
"Jun 4, 2021",3
"Jun 5, 2021",2
"Jun 6, 2021",2
"Jun 7, 2021",2
"Jun 8, 2021",12
"Jun 9, 2021",2
"Jun 10, 2021",2
"Jun 11, 2021",2
"Jun 12, 2021",3
"Jun 13, 2021",1
"Jun 14, 2021",2
"Jun 15, 2021",1
"Jun 16, 2021",1
"Jun 17, 2021",2
"Jun 18, 2021",4
"Jun 19, 2021",2
"Jun 20, 2021",5
"Jun 21, 2021",15
"Jun 22, 2021",24
"Jun 23, 2021",4
"Jun 24, 2021",3
"Jun 25, 2021",2
"Jun 26, 2021",3
"Jun 27, 2021",2
"Jun 28, 2021",1
"Jun 29, 2021",1
"Jun 30, 2021",2
"Jul 1, 2021",1
"Jul 2, 2021",1
"Jul 3, 2021",1
"Jul 4, 2021",1
"Jul 5, 2021",1
"Jul 6, 2021",1
"Jul 7, 2021",1
"Jul 8, 2021",2
"Jul 9, 2021",1
"Jul 10, 2021",1
"Jul 11, 2021",1
"Jul 12, 2021",1
"Jul 13, 2021",1
"Jul 14, 2021",2
"Jul 15, 2021",1
"Jul 16, 2021",2
"Jul 17, 2021",2
"Jul 18, 2021",1
"Jul 19, 2021",2
"Jul 20, 2021",6
"Jul 21, 2021",1
"Jul 22, 2021",0
"Jul 23, 2021",1
"Jul 24, 2021",1
"Jul 25, 2021",1
"Jul 26, 2021",1
"Jul 27, 2021",1
"Jul 28, 2021",1
"Jul 29, 2021",1
"Jul 30, 2021",1
"Jul 31, 2021",0
"Aug 1, 2021",1
"Aug 2, 2021",1
"Aug 3, 2021",1
"Aug 4, 2021",1
"Aug 5, 2021",0
"Aug 6, 2021",0
"Aug 7, 2021",2
"Aug 8, 2021",1
"Aug 9, 2021",1
"Aug 10, 2021",1
"Aug 11, 2021",1
"Aug 12, 2021",1
"Aug 13, 2021",1
"Aug 14, 2021",1
"Aug 15, 2021",1
"Aug 16, 2021",1
"Aug 17, 2021",1
"Aug 18, 2021",1
"Aug 19, 2021",1
"Aug 20, 2021",1
"Aug 21, 2021",2
"Aug 22, 2021",1
"Aug 23, 2021",2
"Aug 24, 2021",2
"Aug 25, 2021",1
"Aug 26, 2021",1
"Aug 27, 2021",1
"Aug 28, 2021",1
"Aug 29, 2021",1
"Aug 30, 2021",1
"Aug 31, 2021",1
"Sep 1, 2021",1
"Sep 2, 2021",2
"Sep 3, 2021",1
"Sep 4, 2021",1
"Sep 5, 2021",1
"Sep 6, 2021",1
"Sep 7, 2021",32
"Sep 8, 2021",15
"Sep 9, 2021",3
"Sep 10, 2021",3
"Sep 11, 2021",2
"Sep 12, 2021",1
"Sep 13, 2021",2
"Sep 14, 2021",1
"Sep 15, 2021",1
"Sep 16, 2021",1
"Sep 17, 2021",1
"Sep 18, 2021",1
"Sep 19, 2021",1
"Sep 20, 2021",13
"Sep 21, 2021",9
"Sep 22, 2021",3
"Sep 23, 2021",1
"Sep 24, 2021",4
"Sep 25, 2021",1
"Sep 26, 2021",2
"Sep 27, 2021",1
"Sep 28, 2021",2
"Sep 29, 2021",1
"Sep 30, 2021",1
"Oct 1, 2021",1
"Oct 2, 2021",1
"Oct 3, 2021",1
"Oct 4, 2021",1
"Oct 5, 2021",1
"Oct 6, 2021",1
"Oct 7, 2021",2
"Oct 8, 2021",1
"Oct 9, 2021",1
"Oct 10, 2021",1
"Oct 11, 2021",1
"Oct 12, 2021",2
"Oct 13, 2021",1
"Oct 14, 2021",1
"Oct 15, 2021",1
"Oct 16, 2021",1
"Oct 17, 2021",1
"Oct 18, 2021",1
"Oct 19, 2021",1
"Oct 20, 2021",1
"Oct 21, 2021",2
"Oct 22, 2021",1
"Oct 23, 2021",1
"Oct 24, 2021",1
"Oct 25, 2021",1
"Oct 26, 2021",2
"Oct 27, 2021",11
"Oct 28, 2021",3
"Oct 29, 2021",2
"Oct 30, 2021",2
"Oct 31, 2021",2
"Nov 1, 2021",2
"Nov 2, 2021",2
"Nov 3, 2021",2
"Nov 4, 2021",2
"Nov 5, 2021",2
"Nov 6, 2021",2
"Nov 7, 2021",2
"Nov 8, 2021",2
"Nov 9, 2021",3
"Nov 10, 2021",7
"Nov 11, 2021",3
"Nov 12, 2021",3
"Nov 13, 2021",2
"Nov 14, 2021",2
"Nov 15, 2021",1
"Nov 16, 2021",16
"Nov 17, 2021",7
"Nov 18, 2021",8
"Nov 19, 2021",5
"Nov 20, 2021",1
"Nov 21, 2021",1
"Nov 22, 2021",2
"Nov 23, 2021",6
"Nov 24, 2021",8
"Nov 25, 2021",2
"Nov 26, 2021",10
"Nov 27, 2021",3
"Nov 28, 2021",4
"Nov 29, 2021",2
"Nov 30, 2021",2
"Dec 1, 2021",1
"Dec 2, 2021",1
"Dec 3, 2021",3
"Dec 4, 2021",69
"Dec 5, 2021",13
"Dec 6, 2021",12
"Dec 7, 2021",3
"Dec 8, 2021",3
"Dec 9, 2021",3
"Dec 10, 2021",5
"Dec 11, 2021",3
"Dec 12, 2021",2
"Dec 13, 2021",7
"Dec 14, 2021",6
"Dec 15, 2021",4
"Dec 16, 2021",1
"Dec 17, 2021",2
"Dec 18, 2021",2
"Dec 19, 2021",1
"Dec 20, 2021",2
"Dec 21, 2021",1
"Dec 22, 2021",1
"Dec 23, 2021",1
"Dec 24, 2021",1
"Dec 25, 2021",1
"Dec 26, 2021",1
"Dec 27, 2021",1
"Dec 28, 2021",5
"Dec 29, 2021",3
"Dec 30, 2021",2
"Dec 31, 2021",1
"Jan 1, 2022",1
"Jan 2, 2022",1
"Jan 3, 2022",1
"Jan 4, 2022",4
"Jan 5, 2022",6
"Jan 6, 2022",14
"Jan 7, 2022",10
"Jan 8, 2022",9
"Jan 9, 2022",4
"Jan 10, 2022",6
"Jan 11, 2022",2
"Jan 12, 2022",1
"Jan 13, 2022",4
"Jan 14, 2022",1
"Jan 15, 2022",1
"Jan 16, 2022",3
"Jan 17, 2022",3
"Jan 18, 2022",4
"Jan 19, 2022",4
"Jan 20, 2022",3
"Jan 21, 2022",37
"Jan 22, 2022",93
"Jan 23, 2022",24
"Jan 24, 2022",60
"Jan 25, 2022",9
"Jan 26, 2022",7
"Jan 27, 2022",5
"Jan 28, 2022",4
"Jan 29, 2022",5
"Jan 30, 2022",4
"Jan 31, 2022",4
"Feb 1, 2022",3
"Feb 2, 2022",3
"Feb 3, 2022",4
"Feb 4, 2022",1
"Feb 5, 2022",2
"Feb 6, 2022",2
"Feb 7, 2022",2
"Feb 8, 2022",2
"Feb 9, 2022",2
"Feb 10, 2022",2
"Feb 11, 2022",3
"Feb 12, 2022",3
"Feb 13, 2022",2
"Feb 14, 2022",2
"Feb 15, 2022",1
"Feb 16, 2022",2
"Feb 17, 2022",2
"Feb 18, 2022",3
"Feb 19, 2022",2
"Feb 20, 2022",5
"Feb 21, 2022",3
"Feb 22, 2022",7
"Feb 23, 2022",2
"Feb 24, 2022",11
"Feb 25, 2022",2
"Feb 26, 2022",2
"Feb 27, 2022",2
"Feb 28, 2022",1
"Mar 1, 2022",1
"Mar 2, 2022",1
"Mar 3, 2022",1
"Mar 4, 2022",1
"Mar 5, 2022",1
"Mar 6, 2022",4
"Mar 7, 2022",2
"Mar 8, 2022",1
"Mar 9, 2022",1
"Mar 10, 2022",1
"Mar 11, 2022",1
"Mar 12, 2022",1
"Mar 13, 2022",1
"Mar 14, 2022",1
"Mar 15, 2022",1
"Mar 16, 2022",1
"Mar 17, 2022",1
"Mar 18, 2022",1
"Mar 19, 2022",1
"Mar 20, 2022",1
"Mar 21, 2022",1
"Mar 22, 2022",1
"Mar 23, 2022",1
"Mar 24, 2022",1
"Mar 25, 2022",1
"Mar 26, 2022",1
"Mar 27, 2022",1
"Mar 28, 2022",1
"Mar 29, 2022",1
"Mar 30, 2022",1
"Mar 31, 2022",2
"Apr 1, 2022",1
"Apr 2, 2022",1
"Apr 3, 2022",1
"Apr 4, 2022",1
"Apr 5, 2022",1
"Apr 6, 2022",3
"Apr 7, 2022",2
"Apr 8, 2022",1
"Apr 9, 2022",1
"Apr 10, 2022",1
"Apr 11, 2022",5
"Apr 12, 2022",2
"Apr 13, 2022",1
"Apr 14, 2022",1
"Apr 15, 2022",1
"Apr 16, 2022",1
"Apr 17, 2022",1
"Apr 18, 2022",2
"Apr 19, 2022",1
"Apr 20, 2022",1
"Apr 21, 2022",1
"Apr 22, 2022",1
"Apr 23, 2022",1
"Apr 24, 2022",1
"Apr 25, 2022",2
"Apr 26, 2022",2
"Apr 27, 2022",1
"Apr 28, 2022",1
"Apr 29, 2022",2
"Apr 30, 2022",3
"May 1, 2022",5
"May 2, 2022",2
"May 3, 2022",1
"May 4, 2022",1
"May 5, 2022",3
"May 6, 2022",3
"May 7, 2022",2
"May 8, 2022",5
"May 9, 2022",20
"May 10, 2022",15
"May 11, 2022",45
"May 12, 2022",100
"May 13, 2022",64
"May 14, 2022",38
"May 15, 2022",28
"May 16, 2022",18
"May 17, 2022",13
"May 18, 2022",11
"May 19, 2022",11
"May 20, 2022",7
"May 21, 2022",7
"May 22, 2022",5
"May 23, 2022",6
"May 24, 2022",6
"May 25, 2022",5
"May 26, 2022",6
"May 27, 2022",6
"May 28, 2022",4
"May 29, 2022",2
"May 30, 2022",2
"May 31, 2022",2
"Jun 1, 2022",3
"Jun 2, 2022",2
"Jun 3, 2022",2
"Jun 4, 2022",3
"Jun 5, 2022",3
"Jun 6, 2022",2
"Jun 7, 2022",2
"Jun 8, 2022",2
"Jun 9, 2022",2
"Jun 10, 2022",3
"Jun 11, 2022",5
"Jun 12, 2022",16
"Jun 13, 2022",47
"Jun 14, 2022",27
"Jun 15, 2022",21
"Jun 16, 2022",11
"Jun 17, 2022",10
"Jun 18, 2022",19
"Jun 19, 2022",12
"Jun 20, 2022",7
"Jun 21, 2022",6
"Jun 22, 2022",5
"Jun 23, 2022",4
"Jun 24, 2022",3
"Jun 25, 2022",3
"Jun 26, 2022",3
"Jun 27, 2022",3
"Jun 28, 2022",3
"Jun 29, 2022",4
"Jun 30, 2022",5
"Jul 1, 2022",3
"Jul 2, 2022",4
"Jul 3, 2022",4
"Jul 4, 2022",3
"Jul 5, 2022",2
"Jul 6, 2022",2
"Jul 7, 2022",2
"Jul 8, 2022",2
"Jul 9, 2022",2
"Jul 10, 2022",2
"Jul 11, 2022",3
"Jul 12, 2022",3
"Jul 13, 2022",3
"Jul 14, 2022",3
"Jul 15, 2022",2
"Jul 16, 2022",2
"Jul 17, 2022",2
"Jul 18, 2022",3
"Jul 19, 2022",2
"Jul 20, 2022",2
"Jul 21, 2022",2
"Jul 22, 2022",2
"Jul 23, 2022",2
"Jul 24, 2022",2
"Jul 25, 2022",2
"Jul 26, 2022",2
"Jul 27, 2022",1
"Jul 28, 2022",2
"Jul 29, 2022",2
"Jul 30, 2022",2
"Jul 31, 2022",2
"Aug 1, 2022",2
"Aug 2, 2022",2
"Aug 3, 2022",2
"Aug 4, 2022",2
"Aug 5, 2022",1
"Aug 6, 2022",1
"Aug 7, 2022",1
"Aug 8, 2022",2
"Aug 9, 2022",1
"Aug 10, 2022",2
"Aug 11, 2022",1
"Aug 12, 2022",1
"Aug 13, 2022",2
"Aug 14, 2022",1
"Aug 15, 2022",1
"Aug 16, 2022",1
"Aug 17, 2022",1
"Aug 18, 2022",1
"Aug 19, 2022",5
"Aug 20, 2022",2
"Aug 21, 2022",1
"Aug 22, 2022",1
"Aug 23, 2022",1
"Aug 24, 2022",1
"Aug 25, 2022",1
"Aug 26, 2022",2
"Aug 27, 2022",2
"Aug 28, 2022",1
"Aug 29, 2022",3
"Aug 30, 2022",1
"Aug 31, 2022",1
"Sep 1, 2022",1
"Sep 2, 2022",1
"Sep 3, 2022",1
"Sep 4, 2022",1
"Sep 5, 2022",1
"Sep 6, 2022",2
"Sep 7, 2022",2
"Sep 8, 2022",1
"Sep 9, 2022",1
"Sep 10, 2022",1
"Sep 11, 2022",1
"Sep 12, 2022",3
"Sep 13, 2022",6
"Sep 14, 2022",5
"Sep 15, 2022",6
"Sep 16, 2022",4
"Sep 17, 2022",3
"Sep 18, 2022",6
"Sep 19, 2022",13
"Sep 20, 2022",6
"Sep 21, 2022",6
"Sep 22, 2022",5
"Sep 23, 2022",4
"Sep 24, 2022",4
"Sep 25, 2022",3
"Sep 26, 2022",5
"Sep 27, 2022",5
"Sep 28, 2022",4
"Sep 29, 2022",3
"Sep 30, 2022",2
"Oct 1, 2022",2
"Oct 2, 2022",4
"Oct 3, 2022",3
"Oct 4, 2022",2
"Oct 5, 2022",4
"Oct 6, 2022",3
"Oct 7, 2022",4
"Oct 8, 2022",4
"Oct 9, 2022",3
"Oct 10, 2022",4
"Oct 11, 2022",4
"Oct 12, 2022",4
"Oct 13, 2022",8
"Oct 14, 2022",3
"Oct 15, 2022",4
"Oct 16, 2022",3
"Oct 17, 2022",3
"Oct 18, 2022",4
"Oct 19, 2022",3
"Oct 20, 2022",2
"Oct 21, 2022",4
"Oct 22, 2022",2
"Oct 23, 2022",2
"Oct 24, 2022",2
"Oct 25, 2022",3
"Oct 26, 2022",3
"Oct 27, 2022",3
"Oct 28, 2022",3
